chart2_name,legal_representative,established_date,registered_capital,actual_controller_share,subsidiary_level_label,company_status,notes,candidate_node_id,candidate_chart1_name,chart2_level_num,match_method,match_score,match_status,review_note
协创数据技术股份有限公司,潘文俊,2005-11-18,48456.9076万元,20.3044%,本级,存续,图二顶部主体,N007,协创数据技术股份有限公司,0,exact,1.0000,review_match,图二顶部主体; level conflict chart1=2 chart2=0
协创智慧科技有限公司,欧胤铭,2014-12-22,28500万元,100%,一级子公司,存续,,N002,协创智慧科技有限公司,1,exact,1.0000,matched,
协创云算科技（深圳）有限公司,易洲,2025-04-03,95000万元,20.3044%,三级子公司,存续,,N019,协创云算科技（深圳）有限公司,3,exact,1.0000,matched,
协创智算科技（深圳）有限公司,易洲,2025-03-04,50000万元,20.3044%,三级子公司,存续,,N014,协创智算科技（深圳）有限公司,3,exact,1.0000,matched,
协创瀛洲智链科技（深圳）有限公司,易洲,2025-09-03,48000万元,20.3044%,三级子公司,存续,,N026,协创瀛洲智链科技（深圳）有限公司,3,exact,1.0000,matched,
安徽协创物联网技术有限公司,潘文俊,2014-12-23,3150万元,20.3044%,三级子公司,存续,,N018,安徽协创物联网技术有限公司,3,exact,1.0000,matched,
协创具身智能机器人（深圳）有限公司,潘文俊,2012-04-05,2000万元,20.3044%,三级子公司,存续,,N017,协创具身智能机器人（深圳）有限公司,3,exact,1.0000,matched,
广州奥佳软件技术有限公司,潘文俊,2014-11-05,1000万元,10.3552%,四级子公司,存续,,,,4,unmatched,0.5000,chart2_only,no safe candidate
长沙市鑫启智慧科技有限公司,胡泽,2025-05-27,20000万元,95%,二级子公司,存续,,N004,长沙市鑫启智慧科技有限公司,2,exact,1.0000,matched,
协创智算（乌兰察布）大数据有限公司,潘文俊,2025-08-18,10000万元,20.3044%,二级子公司,存续,,N013,协创智算（乌兰察布）大数据有限公司,2,exact,1.0000,review_match,level conflict chart1=3 chart2=2
深圳市协创享存智能计算系统有限公司,潘文俊,2025-01-24,5000万元,11.1674%,三级子公司,存续,名称按图二清单提取,N035,深圳市创享存智计算系统有限公司,3,fuzzy,0.9375,review_match,名称按图二清单提取; fuzzy candidate 深圳市创享存智计算系统有限公司; gap 0.3375
