node_id,chart1_name,canonical_name,chart1_level,chart1_parent,chart1_parent_name,matched_chart2_name,legal_representative,established_date,registered_capital,actual_controller_share,subsidiary_level_label,company_status,match_status,node_status,review_flag,review_note
N001,协创数据,协创数据,0,,,,,,,,,,chart1_only,chart1_only,yes,顶层主体
N002,协创智慧科技有限公司,协创智慧科技有限公司,1,N001,协创数据,协创智慧科技有限公司,欧胤铭,2014-12-22,28500万元,100%,一级子公司,存续,matched,enriched,,
N003,海南康铭创业投资合伙企业（有限合伙）,海南康铭创业投资合伙企业（有限合伙）,1,N001,协创数据,,,,,,,,chart1_only,chart1_only,yes,chart2 had no safe active-company match
N004,长沙市鑫启智慧科技有限公司,长沙市鑫启智慧科技有限公司,2,N002,协创智慧科技有限公司,长沙市鑫启智慧科技有限公司,胡泽,2025-05-27,20000万元,95%,二级子公司,存续,matched,enriched,,
N005,肇庆市晋金贸易有限公司,肇庆市晋金贸易有限公司,2,N002,协创智慧科技有限公司,肇庆市晋金贸易有限公司,罗琦,2023-05-08,100万元,60%,二级子公司,存续,matched,enriched,,
N006,深圳市明创体育科技有限公司,深圳市明创体育科技有限公司,2,N002,协创智慧科技有限公司,深圳市明创体育科技有限公司,欧胤铭,2024-12-10,800万元,51%,二级子公司,存续,matched,enriched,,
N007,协创数据技术股份有限公司,协创数据技术股份有限公司,2,N002,协创智慧科技有限公司,协创数据技术股份有限公司,,,,,,,review_match,review_match,yes,图二顶部主体; level conflict chart1=2 chart2=0
N008,协创速极算谷（深圳）科技有限公司,协创速极算谷（深圳）科技有限公司,3,N007,协创数据技术股份有限公司,协创速极算谷（深圳）科技有限公司,易洲,2025-12-26,1000万元,20.3044%,三级子公司,存续,matched,enriched,,
N009,深圳市协创立软软件有限公司,深圳市协创立软软件有限公司,3,N007,协创数据技术股份有限公司,深圳市协创立软件有限公司,,,,,,,review_match,review_match,yes,名称按图二清单提取; fuzzy candidate 深圳市协创立软软件有限公司; gap 0.2643
N010,协创灵犀智慧科技（深圳）有限公司,协创灵犀智慧科技（深圳）有限公司,3,N007,协创数据技术股份有限公司,协创灵犀智慧科技（深圳）有限公司,易洲,2025-12-03,1000万元,20.3044%,三级子公司,存续,matched,enriched,,
N011,协创智核算力科技（深圳）有限公司,协创智核算力科技（深圳）有限公司,3,N007,协创数据技术股份有限公司,协创智核算力科技（深圳）有限公司,易洲,2025-12-30,1000万元,20.3044%,三级子公司,存续,matched,enriched,,
N012,协创云脉算力科技（深圳）有限公司,协创云脉算力科技（深圳）有限公司,3,N007,协创数据技术股份有限公司,协创云脉算力科技（深圳）有限公司,易洲,2025-12-26,1000万元,20.3044%,三级子公司,存续,matched,enriched,,
N013,协创智算（乌兰察布）大数据有限公司,协创智算（乌兰察布）大数据有限公司,3,N007,协创数据技术股份有限公司,协创智算（乌兰察布）大数据有限公司,,,,,,,review_match,review_match,yes,level conflict chart1=3 chart2=2
N014,协创智算科技（深圳）有限公司,协创智算科技（深圳）有限公司,3,N007,协创数据技术股份有限公司,协创智算科技（深圳）有限公司,易洲,2025-03-04,50000万元,20.3044%,三级子公司,存续,matched,enriched,,
N015,深圳市协芯投资有限公司,深圳市协芯投资有限公司,3,N007,协创数据技术股份有限公司,深圳市协创芯投资有限公司,,,,,,,review_match,review_match,yes,fuzzy candidate 深圳市协芯投资有限公司; gap 0.2365
N016,协创腾算科技（深圳）有限公司,协创腾算科技（深圳）有限公司,3,N007,协创数据技术股份有限公司,协创腾算科技（深圳）有限公司,易洲,2025-12-26,1000万元,20.3044%,三级子公司,存续,matched,enriched,,
N017,协创具身智能机器人（深圳）有限公司,协创具身智能机器人（深圳）有限公司,3,N007,协创数据技术股份有限公司,协创具身智能机器人（深圳）有限公司,潘文俊,2012-04-05,2000万元,20.3044%,三级子公司,存续,matched,enriched,,
N018,安徽协创物联网技术有限公司,安徽协创物联网技术有限公司,3,N007,协创数据技术股份有限公司,安徽协创物联网技术有限公司,潘文俊,2014-12-23,3150万元,20.3044%,三级子公司,存续,matched,enriched,,
N019,协创云算科技（深圳）有限公司,协创云算科技（深圳）有限公司,3,N007,协创数据技术股份有限公司,协创云算科技（深圳）有限公司,易洲,2025-04-03,95000万元,20.3044%,三级子公司,存续,matched,enriched,,
N020,协创擎算科技（深圳）有限公司,协创擎算科技（深圳）有限公司,3,N007,协创数据技术股份有限公司,协创擎算科技（深圳）有限公司,易洲,2025-12-30,1000万元,20.3044%,三级子公司,存续,matched,enriched,,
N021,协创智算科技（马鞍山）有限公司,协创智算科技（马鞍山）有限公司,3,N007,协创数据技术股份有限公司,协创智算科技（马鞍山）有限公司,潘文俊,2025-09-02,1000万元,20.3044%,三级子公司,存续,matched,enriched,,
N022,协创联算力科技（深圳）有限公司,协创联算力科技（深圳）有限公司,3,N007,协创数据技术股份有限公司,协创芯联算力科技（深圳）有限公司,,,,,,,review_match,review_match,yes,名称按图二清单提取; fuzzy candidate 协创联算力科技（深圳）有限公司; gap 0.0344
N023,东莞市协创数据技术有限公司,东莞市协创数据技术有限公司,3,N007,协创数据技术股份有限公司,东莞市协创数据技术有限公司,潘文俊,2013-12-11,2000万元,20.3044%,三级子公司,存续,matched,enriched,,
N024,协创算力科技（深圳）有限公司,协创算力科技（深圳）有限公司,3,N007,协创数据技术股份有限公司,协创算力科技（深圳）有限公司,易洲,2025-11-21,1000万元,20.3044%,三级子公司,存续,matched,enriched,,
N025,协创智驰算谷（深圳）科技有限公司,协创智驰算谷（深圳）科技有限公司,3,N007,协创数据技术股份有限公司,协创智驰算谷（深圳）科技有限公司,易洲,2025-12-30,1000万元,20.3044%,三级子公司,存续,matched,enriched,,
N026,协创瀛洲智链科技（深圳）有限公司,协创瀛洲智链科技（深圳）有限公司,3,N007,协创数据技术股份有限公司,协创瀛洲智链科技（深圳）有限公司,易洲,2025-09-03,48000万元,20.3044%,三级子公司,存续,matched,enriched,,
N027,偶米科技有限公司,偶米科技有限公司,3,N007,协创数据技术股份有限公司,偶米科技有限公司,胡志宁,2015-01-22,5000万元,20.3044%,三级子公司,存续,matched,enriched,,
N028,天津词元智算科技有限公司,天津词元智算科技有限公司,3,N007,协创数据技术股份有限公司,天津词元智算科技有限公司,潘文俊,2026-04-15,1000万元,20.3044%,三级子公司,存续,matched,enriched,,
N029,协创数据技术（香港）有限公司,协创数据技术（香港）有限公司,3,N007,协创数据技术股份有限公司,协创数据技术（香港）有限公司,,2010-05-10,,20.3044%,三级子公司,仍注册,matched,enriched,,境外主体未见法人代表
